id,color,size,tel,warning
62a7e187fc13ae5fad0000d4,Pink,XS,239-376-9587,73
62a7e187fc13ae5fad0000d5,Aquamarine,S,708-667-1862,35
62a7e187fc13ae5fad0000d6,Pink,L,554-636-6355,78
62a7e187fc13ae5fad0000d7,Red,M,604-462-6996,72
62a7e187fc13ae5fad0000d8,Maroon,L,605-592-7104,40
62a7e187fc13ae5fad0000d9,Indigo,S,201-262-5953,28
62a7e188fc13ae5fad0000da,Teal,S,189-618-2245,71
62a7e188fc13ae5fad0000db,Pink,S,406-550-7079,90
62a7e188fc13ae5fad0000dc,Khaki,L,381-245-0129,46
62a7e188fc13ae5fad0000dd,Purple,3XL,189-928-2383,17
62a7e188fc13ae5fad0000de,Turquoise,S,860-801-1253,24
62a7e188fc13ae5fad0000df,Maroon,XL,198-373-5828,60
62a7e188fc13ae5fad0000e0,Orange,S,566-728-0172,33
62a7e188fc13ae5fad0000e1,Pink,3XL,544-107-8261,18
62a7e188fc13ae5fad0000e2,Green,S,797-904-0232,10
62a7e188fc13ae5fad0000e3,Teal,L,916-188-1206,3
62a7e188fc13ae5fad0000e4,Crimson,XL,681-151-7464,83
62a7e188fc13ae5fad0000e5,Fuscia,S,606-202-4860,70
62a7e188fc13ae5fad0000e6,Red,XL,895-191-2810,97
62a7e188fc13ae5fad0000e7,Pink,L,320-339-7425,34
62a7e188fc13ae5fad0000e8,Indigo,S,349-194-4107,21
62a7e188fc13ae5fad0000e9,Green,S,236-844-9791,9
62a7e188fc13ae5fad0000ea,Green,XL,994-854-9013,75
62a7e188fc13ae5fad0000eb,Maroon,L,886-578-2064,32
62a7e188fc13ae5fad0000ec,Yellow,S,363-648-8488,41
62a7e188fc13ae5fad0000ed,Purple,M,977-486-5542,20
62a7e188fc13ae5fad0000ee,Yellow,2XL,132-609-1050,76
62a7e188fc13ae5fad0000ef,Green,L,603-726-5579,12
62a7e188fc13ae5fad0000f0,Fuscia,2XL,910-355-8239,42
62a7e188fc13ae5fad0000f1,Puce,XS,126-270-9829,14
62a7e188fc13ae5fad0000f2,Fuscia,XL,391-634-5916,62
62a7e188fc13ae5fad0000f3,Goldenrod,XL,215-294-9371,46
62a7e188fc13ae5fad0000f4,Orange,S,102-173-8287,54
62a7e188fc13ae5fad0000f5,Violet,2XL,690-687-1334,58
62a7e188fc13ae5fad0000f6,Red,2XL,970-548-2096,40
62a7e188fc13ae5fad0000f7,Fuscia,XL,197-481-7064,4
62a7e188fc13ae5fad0000f8,Orange,M,616-161-7592,27
62a7e188fc13ae5fad0000f9,Violet,L,767-721-4136,98
62a7e188fc13ae5fad0000fa,Crimson,XS,610-824-2407,32
62a7e188fc13ae5fad0000fb,Green,L,577-383-1707,23
62a7e188fc13ae5fad0000fc,Goldenrod,3XL,298-802-5217,85
62a7e188fc13ae5fad0000fd,Goldenrod,XS,383-552-1358,23
62a7e188fc13ae5fad0000fe,Orange,M,802-503-2818,14
62a7e188fc13ae5fad0000ff,Purple,XL,531-658-7538,63
62a7e188fc13ae5fad000100,Orange,3XL,930-322-4312,69
62a7e188fc13ae5fad000101,Blue,2XL,321-973-9083,3
62a7e188fc13ae5fad000102,Purple,2XL,848-582-3379,72
62a7e188fc13ae5fad000103,Puce,XS,625-550-9785,48
62a7e188fc13ae5fad000104,Aquamarine,M,680-225-0469,41
62a7e188fc13ae5fad000105,Turquoise,XL,260-674-4793,95
62a7e188fc13ae5fad000106,Orange,S,750-498-5246,52
62a7e188fc13ae5fad000107,Goldenrod,M,608-869-2764,24
62a7e188fc13ae5fad000108,Pink,L,814-192-0539,4
62a7e188fc13ae5fad000109,Goldenrod,L,269-439-9903,88
62a7e188fc13ae5fad00010a,Aquamarine,2XL,465-569-5336,69
62a7e188fc13ae5fad00010b,Indigo,L,811-297-8521,4
62a7e188fc13ae5fad00010c,Yellow,L,988-530-6844,29
62a7e188fc13ae5fad00010d,Aquamarine,3XL,278-827-1388,25
62a7e188fc13ae5fad00010e,Crimson,XS,674-996-0058,13
62a7e188fc13ae5fad00010f,Orange,3XL,407-551-8018,75
62a7e188fc13ae5fad000110,Green,M,964-376-3721,48
62a7e188fc13ae5fad000111,Red,L,901-557-7592,20
62a7e188fc13ae5fad000112,Fuscia,M,369-606-4257,2
62a7e188fc13ae5fad000113,Red,M,228-213-8225,15
62a7e188fc13ae5fad000114,Red,2XL,525-298-9472,28
62a7e188fc13ae5fad000115,Goldenrod,S,655-426-0300,3
62a7e188fc13ae5fad000116,Teal,XS,526-578-5952,40
62a7e188fc13ae5fad000117,Violet,XS,607-827-2306,62
62a7e188fc13ae5fad000118,Mauv,3XL,998-155-4948,69
62a7e188fc13ae5fad000119,Aquamarine,S,454-308-2040,85
62a7e188fc13ae5fad00011a,Khaki,L,401-954-6941,65
62a7e188fc13ae5fad00011b,Green,M,658-536-9561,43
62a7e188fc13ae5fad00011c,Blue,L,356-895-6619,88
62a7e188fc13ae5fad00011d,Red,L,952-987-3125,14
62a7e188fc13ae5fad00011e,Mauv,XS,863-726-2846,93
62a7e188fc13ae5fad00011f,Blue,XL,976-218-7408,73
62a7e188fc13ae5fad000120,Purple,XL,112-550-3365,23
62a7e188fc13ae5fad000121,Red,XL,925-173-8869,74
62a7e188fc13ae5fad000122,Green,L,772-659-4343,44
62a7e188fc13ae5fad000123,Pink,L,812-972-5069,81
